Date,Team,Relinquished,Notes,Notes2
1999-11-01,Sonics,Emanual Davis,placed on IR with collateral ligament tear in right index finger,collateral ligament tear in right index finger
1999-11-01,Sonics,Lazaro Borrell,placed on IL with patella tendinitis in right knee,patella tendinitis in right knee
1999-11-01,Spurs,Derrick Dial,placed on IR with strained back,strained back
1999-11-01,Spurs,Felton Spencer,placed on IL with sprained ankle,sprained ankle
1999-11-01,Spurs,Sean Elliott,placed on IR with kidney transplant,kidney transplant
1999-11-01,Suns,Corie Blount,placed on IR with arthroscopic left knee surgery,arthroscopic left knee surgery
1999-11-01,Suns,Gerald Brown,placed on IL with left knee tendinitis,left knee tendinitis
1999-11-01,Suns,Toby Bailey,placed on IR with right tricep strain,right tricep strain
1999-11-01,Timberwolves,Andrae Patterson,placed on IR with torn right knee ligaments,torn right knee ligaments
1999-11-01,Timberwolves,Danny Schayes,placed on IL with knee tendinitis,knee tendinitis
1999-11-01,Timberwolves,Lou Roe,placed on IL with knee tendinitis,knee tendinitis
1999-11-01,Warriors,Erick Dampier,placed on IL with arthroscopic surgery on left knee,arthroscopic surgery on left knee
1999-11-01,Warriors,Tim Young,placed on IL with plantar fasciatis in right heel,plantar fasciatis in right heel
1999-11-01,Wizards,Calvin Booth,placed on IL with strained right hamstring,strained right hamstring
1999-11-01,Wizards,Lorenzo Williams,placed on IR recovery from knee surgery,placed on IR recovery from knee surgery
1999-11-01,Wizards,Reggie Jordan,placed on IL with right knee tendinitis,right knee tendinitis
1999-11-05,Raptors,Aleksandar Radojevic,placed on IL with torn legament in left knee (back surgery per Stats),torn legament in left knee (back surgery per Stats)
1999-11-11,Mavericks,Leon Smith,placed on IL with strained lower back,strained lower back
1999-11-11,Sonics,Fred Vinson,placed on IR with left knee tendintis,left knee tendintis
1999-11-12,76ers,Tyrone Hill,placed on IR with torn ligament in right ring finger,torn ligament in right ring finger
1999-11-12,Sonics,Shammond Williams,placed on IL with bruised right thigh,bruised right thigh
1999-11-13,Pistons,John Crotty,placed on IL with strained groin,strained groin
1999-11-14,Grizzlies,Doug West,placed on IL with sprained toe,sprained toe
1999-11-15,Lakers,Tyronn Lue,placed on IL with right knee tendinitis,right knee tendinitis
1999-11-15,Magic,Matt Harpring,placed on IR with torn tendon in left ankle (out 3-5 months),torn tendon in left ankle (out 3-5 months)
1999-11-15,Nets,Michael Cage,placed on IL with strained lower back,strained lower back
1999-11-15,Sonics,Jelani McCoy,placed on IL with sprained right ankle,sprained right ankle
1999-11-15,Warriors,Jason Caffey,placed on IL with right Achilles tendinitis,right Achilles tendinitis
1999-11-16,Blazers,Joe Kleine,placed on IR with sprained finger,sprained finger
1999-11-16,Heat,Clarence Weatherspoon,strained left hamstring (DNP),strained left hamstring (DNP)
1999-11-16,Nuggets,Johnny Taylor,placed on IR with patella tendinitis in left knee,patella tendinitis in left knee
1999-11-16,Raptors,Sean Marks,placed on IL with patellar tendinitis in left knee,patellar tendinitis in left knee
1999-11-17,Bulls,Dickey Simpkins,placed on IR with left Achilles tendon strain,left Achilles tendon strain
1999-11-17,Bulls,Fred Hoiberg,"placed on IR with small tear in right quadricep (strained tendon in right knee per Stats, right quad tendon strain per Bulls media guide)","small tear in right quadricep (strained tendon in right knee per Stats, right quad tendon strain per Bulls media guide)"
1999-11-17,Wizards,Laron Profit,placed on IL with left knee tendinitis,left knee tendinitis
1999-11-20,Rockets,Thomas Hamilton,placed on IR with strained back,strained back
1999-11-22,76ers,Stanley Roberts,placed on IL with strained lower back,strained lower back
1999-11-22,Blazers,Bonzi Wells,placed on IL with sprained left knee,sprained left knee
1999-11-24,76ers,Allen Iverson,placed on IR with broken right thumb,broken right thumb
1999-11-24,Magic,Earl Boykins,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1999-11-24,Nets,Kendall Gill,placed on IL with bone bruise in left foot,bone bruise in left foot
1999-11-24,Nuggets,Chris Herren,placed on IL with sprained right wrist,sprained right wrist
1999-11-26,Pistons,Jermaine Jackson,placed on IL with right knee tendinitis,right knee tendinitis
1999-11-26,Sonics,Lazaro Borrell,placed on IL with right patella tendinitis,right patella tendinitis
1999-11-27,Bulls,Lari Ketner,placed on IL with left knee patellar tendinitis,left knee patellar tendinitis
1999-11-27,Knicks,Larry Johnson (Demetric),placed on IR with pinched nerve in lower back,pinched nerve in lower back
1999-11-29,Rockets,Hakeem Olajuwon,placed on IR with groin strain (out 3-4 weeks),groin strain (out 3-4 weeks)
1999-11-29,Warriors,Tim Young,placed on IL with plantar fasciatis in right foot,plantar fasciatis in right foot
1999-11-30,Cavaliers,Trajan Langdon,placed on IR with bruised cartilage in right knee,bruised cartilage in right knee
1999-11-30,Heat,Tim Hardaway Sr.,placed on IR with jammed right knee,jammed right knee
1999-12-01,Blazers,Jermaine O'Neal,placed on IL with sore left ankle,sore left ankle
1999-12-01,Bulls,Lari Ketner,placed on IL with knee tendinitis,knee tendinitis
1999-12-01,Lakers,Devean George,placed on IL with bruised right knee,bruised right knee
1999-12-01,Mavericks,Erick Strickland,placed on IL with sprained left shoulder,sprained left shoulder
1999-12-02,Mavericks,Randell Jackson,placed on IL with deep right thigh bruise,deep right thigh bruise
1999-12-02,Sonics,Chuck Person,placed on IL with right foot injury / strained back (Stats),right foot injury / strained back (Stats)
1999-12-02,Sonics,Shammond Williams,placed on IR with right thumb injury,right thumb injury
1999-12-02,Spurs,Samaki Walker,placed on IL with sprained left ankle,sprained left ankle
1999-12-02,Warriors,Donyell Marshall,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1999-12-03,76ers,Nazr Mohammed,placed on IL with strained lower back,strained lower back
1999-12-03,Nets,Michael Cage,placed on IL with strained lower back,strained lower back
1999-12-04,Mavericks,Erick Strickland,placed on IR with sprained shoulder (per Stats),sprained shoulder (per Stats)
1999-12-05,Knicks,DeMarco Johnson,placed on IL with sprained left ankle,sprained left ankle
1999-12-05,Sonics,Fred Vinson,placed on IL with left knee patella tendinitis,left knee patella tendinitis
1999-12-05,Suns,Shawn Marion,placed on IL with sore left knee,sore left knee
1999-12-06,Heat,Harold Jamison,placed on IR with pulled right hamstring,pulled right hamstring
1999-12-07,Kings,Jon Barry,placed on IL with strained lower back,strained lower back
1999-12-07,Pacers,Zan Tabak,placed on IL with strained lower back,strained lower back
1999-12-08,Bulls,Toni Kukoc,placed on IL with lower back spasms,lower back spasms
1999-12-09,Wizards,Richard Hamilton,placed on IR with sprained right pinky finger,sprained right pinky finger
1999-12-10,Knicks,Rick Brunson,placed on IL with bone spurs in right foot,bone spurs in right foot
1999-12-10,Lakers,Travis Knight,placed on IL with sprained right ankle,sprained right ankle
1999-12-10,Nets,Gheorghe Muresan,placed on IL with torn cartilage in left knee,torn cartilage in left knee
1999-12-10,Rockets,Charles Barkley,placed on IR with ruptured quadriceps tendon in left knee (out for season),ruptured quadriceps tendon in left knee (out for season)
1999-12-11,76ers,Kevin Ollie,placed on IL with right knee tendinitis,right knee tendinitis
1999-12-11,Blazers,Joe Kleine,placed on IR with sprained finger,sprained finger
1999-12-11,Sonics,Lazaro Borrell,placed on IL with right knee tendinitis,right knee tendinitis
1999-12-11,Spurs,Felton Spencer,placed on IL with strained left hip flexor,strained left hip flexor
1999-12-12,Celtics,Paul Pierce,placed on IR with severe left ankle sprain (out 2 weeks),severe left ankle sprain (out 2 weeks)
1999-12-14,Hawks,Roshown McLeod,placed on IR with a groin injury,a groin injury
1999-12-15,Bulls,Hersey Hawkins,placed on IR with medial gastroc tear in left calf,medial gastroc tear in left calf
1999-12-15,Nets,Gheorghe Muresan,placed on IR left knee surgery to repair tear in lateral and medial memiscus (out 8 weeks),placed on IR left knee surgery to repair tear in lateral and medial memiscus (out 8 weeks)
1999-12-17,Bulls,Randy Brown,placed on IL with left knee tendinitis,left knee tendinitis
1999-12-17,Clippers,Brian Skinner,placed on IL with sprained left ankle,sprained left ankle
1999-12-17,Timberwolves,Dean Garrett,placed on IR with left knee synovititis,left knee synovititis
1999-12-17,Warriors,Mookie Blaylock,placed on IL with strained left calf,strained left calf
1999-12-17,Warriors,Terry Cummings,placed on IL with strained left groin,strained left groin
1999-12-18,Grizzlies,Antoine Carr,placed on IL with left Achilles tendinitis,left Achilles tendinitis
1999-12-18,Mavericks,Robert Pack,placed on IL with sprained right ankle,sprained right ankle
1999-12-18,Nuggets,Chauncey Billups,placed on IR with dislocated left shoulder,dislocated left shoulder
1999-12-20,76ers,Theo Ratliff,placed on IL with sprained left ankle,sprained left ankle
1999-12-20,Blazers,Gary Grant,placed on IL with right knee tendinitis,right knee tendinitis
1999-12-20,Magic,Anthony Parker,placed on IL with strained lower back,strained lower back
1999-12-21,Kings,Bill Wennington,placed on IL with bruised lower back (back spasms per Stats),bruised lower back (back spasms per Stats)
1999-12-21,Suns,Anfernee Hardaway / Penny Hardaway,placed on IL with plantar fasciaitis in right foot,plantar fasciaitis in right foot
1999-12-22,Cavaliers,Danny Ferry,placed on IL with strained left calf,strained left calf
1999-12-22,Hornets,Eddie Jones,placed on IR with torn MCL in left elbow (out 3-4 weeks),torn MCL in left elbow (out 3-4 weeks)
1999-12-22,Nuggets,Chauncey Billups,placed on IR with left shoulder surgery,left shoulder surgery
1999-12-22,Sonics,Jelani McCoy,placed on IR with sprained right ankle,sprained right ankle
1999-12-25,Lakers,John Celestand,placed on IL with left knee tendinitis,left knee tendinitis
1999-12-26,Celtics,Walter McCarty,placed on IR with soft tissue damage in right foot,soft tissue damage in right foot
1999-12-26,Grizzlies,Doug West,placed on IR with stress fracture in left wrist/hand,stress fracture in left wrist/hand
1999-12-26,Raptors,Dell Curry,placed on IR with strained left heel,strained left heel
1999-12-27,Wizards,Laron Profit,placed on IL with left knee tendinitis,left knee tendinitis
1999-12-28,Nets,Sherman Douglas,placed on IL with sore left ankle,sore left ankle
1999-12-30,Timberwolves,Bobby Jackson,placed on IL with bruised and strained right knee,bruised and strained right knee
1999-12-30,Timberwolves,Wally Szczerbiak,placed on IL with right knee inflammation,right knee inflammation
2000-01-03,Bulls,Fred Hoiberg,placed on IL with strained left quadricep tendon,strained left quadricep tendon
2000-01-05,Grizzlies,Cherokee Parks,placed on IL with strained right groin,strained right groin
2000-01-05,Sonics,Lazaro Borrell,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2000-01-07,Cavaliers,Trajan Langdon,placed on IL with right knee injury (out for season),right knee injury (out for season)
2000-01-07,Rockets,Tony Massenburg,placed on IL with strained groin,strained groin
2000-01-07,Sonics,Vernon Maxwell,placed on IL with right knee surgery,right knee surgery
2000-01-07,Timberwolves,Andrae Patterson,placed on IR with rehab from right knee surgery,rehab from right knee surgery
2000-01-09,76ers,Jumaine Jones,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
2000-01-09,Celtics,Adrian Griffin,placed on IL with sprained right ankle,sprained right ankle
2000-01-09,Warriors,Chris Mills,placed on IL with bone spurs in right ankle,bone spurs in right ankle
2000-01-09,Warriors,John Starks,placed on IL with right knee tendinitis,right knee tendinitis
2000-01-10,Bulls,B.J. Armstrong,placed on IL with strained left knee / loose bodies in left knee,strained left knee / loose bodies in left knee
2000-01-10,Nuggets,Roy Rogers,placed on IL with sprained right knee,sprained right knee
2000-01-12,Grizzlies,Obinna Ekezie,placed on IL with sprained left ankle,sprained left ankle
2000-01-12,Magic,Monty Williams,placed on IR with bruised lower back,bruised lower back
2000-01-13,Rockets,Kelvin Cato,placed on IL with sprained right wrist,sprained right wrist
2000-01-16,Cavaliers,Ryan Stack,placed on IR with dehydration & allergic reaction,dehydration & allergic reaction
2000-01-17,Wizards,Mitch Richmond,placed on IR with fractured right rib,fractured right rib
2000-01-19,Wizards,Gerard King,placed on IR with left elbow tendinitis,left elbow tendinitis
2000-01-21,Heat,Rodney Buford,placed on IL with bilateral patella tendinitis,bilateral patella tendinitis
2000-01-21,Nets,Michael Cage,placed on IL with sprained toe,sprained toe
2000-01-22,Rockets,Carlos Rogers,placed on IR with torn ligament in right hand,torn ligament in right hand
2000-01-22,Suns,Mark West (Andre),placed on IL with back spasms,back spasms
2000-01-24,Blazers,Antonio Harvey,placed on IL with knee injury,knee injury
2000-01-24,Spurs,Chucky Brown,placed on IL with strained lower back,strained lower back
2000-01-25,Celtics,Eric Williams,placed on IL with sore right knee,sore right knee
2000-01-25,Heat,Dan Majerle,placed on IR with stress fracture of fibula in left leg,stress fracture of fibula in left leg
2000-01-25,Mavericks,Gary Trent,placed on IL with strained left groin,strained left groin
2000-01-25,Spurs,Marcus Brown,placed on IL with strained lower back,strained lower back
2000-01-25,Warriors,Tim Young,placed on IL with plantar fasciaitis in right foot,plantar fasciaitis in right foot
2000-01-26,Raptors,Sean Marks,placed on IL with patellar tendinitis in left knee,patellar tendinitis in left knee
2000-01-28,Hawks,Dion Glover,placed on IR for left knee rehabilitation,placed on IR for left knee rehabilitation
2000-01-28,Knicks,Andrew Lang,placed on IR with injured hamstring,injured hamstring
2000-01-28,Nuggets,Ryan Bowen,placed on IL with sprained right ankle,sprained right ankle
2000-01-30,Heat,Tim James,placed on IL with sprained back,sprained back
2000-01-31,Grizzlies,Antoine Carr,placed on IL with left quadriceps tendinitis / sprained ankle (Stats),left quadriceps tendinitis / sprained ankle (Stats)
